Nom,Département,Code commune,Position géographique,UIC,Jour de la semaine,Horaire en jour normal,Horaire en jour férié,Type_ville,Latitude,Longitude
Bandol,Var,83009,"43.140344, 5.750118",87755223,Samedi,09:00-13:00,,Petite ville,43.140344,5.750118
Biot,Alpes-Maritimes,6004,"43.610951, 7.12609",87757690,Mardi,14:00-17:00,,Petite ville,43.610951,7.12609
Biot,Alpes-Maritimes,6004,"43.610951, 7.12609",87757690,Jeudi,09:00-12:00,,Petite ville,43.610951,7.12609
Bollène La Croisière,Vaucluse,84019,"44.271525, 4.707908",87764357,Lundi,06:10-13:15,,Petite ville,44.271525,4.707908
Bollène La Croisière,Vaucluse,84019,"44.271525, 4.707908",87764357,Mardi,08:30-15:30,,Petite ville,44.271525,4.707908
Bollène La Croisière,Vaucluse,84019,"44.271525, 4.707908",87764357,Mercredi,08:30-15:30,,Petite ville,44.271525,4.707908
Bollène La Croisière,Vaucluse,84019,"44.271525, 4.707908",87764357,Jeudi,08:30-15:30,,Petite ville,44.271525,4.707908
Bollène La Croisière,Vaucluse,84019,"44.271525, 4.707908",87764357,Vendredi,10:00-17:00,,Petite ville,44.271525,4.707908
Briançon,Hautes-Alpes,5023,"44.889853, 6.633007",87763607,Lundi,05:30-20:10,05:30-20:10,Petite ville,44.889853,6.633007
Briançon,Hautes-Alpes,5023,"44.889853, 6.633007",87763607,Mardi,05:30-20:10,05:30-20:10,Petite ville,44.889853,6.633007
Briançon,Hautes-Alpes,5023,"44.889853, 6.633007",87763607,Mercredi,05:30-20:10,05:30-20:10,Petite ville,44.889853,6.633007
Briançon,Hautes-Alpes,5023,"44.889853, 6.633007",87763607,Jeudi,05:30-20:10,05:30-20:10,Petite ville,44.889853,6.633007
Briançon,Hautes-Alpes,5023,"44.889853, 6.633007",87763607,Vendredi,05:30-20:10,05:30-20:10,Petite ville,44.889853,6.633007
Briançon,Hautes-Alpes,5023,"44.889853, 6.633007",87763607,Samedi,05:30-20:10,05:30-20:10,Petite ville,44.889853,6.633007
Briançon,Hautes-Alpes,5023,"44.889853, 6.633007",87763607,Dimanche,05:30-20:10,05:30-20:10,Petite ville,44.889853,6.633007
Cagnes-sur-Mer,Alpes-Maritimes,6027,"43.65813, 7.14864",87756320,Lundi,05:50-20:45,06:45-20:45,Petite ville,43.65813,7.14864
Cagnes-sur-Mer,Alpes-Maritimes,6027,"43.65813, 7.14864",87756320,Mardi,05:50-20:45,06:45-20:45,Petite ville,43.65813,7.14864
Cagnes-sur-Mer,Alpes-Maritimes,6027,"43.65813, 7.14864",87756320,Mercredi,05:50-20:45,06:45-20:45,Petite ville,43.65813,7.14864
Cagnes-sur-Mer,Alpes-Maritimes,6027,"43.65813, 7.14864",87756320,Jeudi,05:50-20:45,06:45-20:45,Petite ville,43.65813,7.14864
Cagnes-sur-Mer,Alpes-Maritimes,6027,"43.65813, 7.14864",87756320,Vendredi,05:50-20:45,06:45-20:45,Petite ville,43.65813,7.14864
Cagnes-sur-Mer,Alpes-Maritimes,6027,"43.65813, 7.14864",87756320,Samedi,05:50-20:45,06:45-20:45,Petite ville,43.65813,7.14864
Cagnes-sur-Mer,Alpes-Maritimes,6027,"43.65813, 7.14864",87756320,Dimanche,06:45-20:45,06:45-20:45,Petite ville,43.65813,7.14864
Cannes,Alpes-Maritimes,6029,"43.553839, 7.019682",87757625,Lundi,05:00-23:20,05:00-00:50,Petite ville,43.553839,7.019682
Cannes,Alpes-Maritimes,6029,"43.553839, 7.019682",87757625,Mardi,05:00-23:20,05:00-00:50,Petite ville,43.553839,7.019682
Cannes,Alpes-Maritimes,6029,"43.553839, 7.019682",87757625,Mercredi,05:00-23:20,05:00-00:50,Petite ville,43.553839,7.019682
Cannes,Alpes-Maritimes,6029,"43.553839, 7.019682",87757625,Jeudi,05:00-23:20,05:00-00:50,Petite ville,43.553839,7.019682
Cannes,Alpes-Maritimes,6029,"43.553839, 7.019682",87757625,Vendredi,05:00-00:50,05:00-00:50,Petite ville,43.553839,7.019682
Cannes,Alpes-Maritimes,6029,"43.553839, 7.019682",87757625,Samedi,05:45-00:50,05:00-00:50,Petite ville,43.553839,7.019682
Cannes,Alpes-Maritimes,6029,"43.553839, 7.019682",87757625,Dimanche,05:00-00:50,05:00-00:50,Petite ville,43.553839,7.019682
Carnoules,Var,83033,"43.2974104, 6.1862531",87755371,Mardi,08:00-11:00,,Petite ville,43.2974104,6.1862531
Carnoules,Var,83033,"43.2974104, 6.1862531",87755371,Jeudi,06:00-09:00,,Petite ville,43.2974104,6.1862531
Carpentras,Vaucluse,84031,"44.0499488, 5.044141",87765735,Lundi,09:00-16:15,09:00-16:15,Petite ville,44.0499488,5.044141
Carpentras,Vaucluse,84031,"44.0499488, 5.044141",87765735,Mardi,09:00-16:15,09:00-16:15,Petite ville,44.0499488,5.044141
Carpentras,Vaucluse,84031,"44.0499488, 5.044141",87765735,Mercredi,09:00-16:15,09:00-16:15,Petite ville,44.0499488,5.044141
Carpentras,Vaucluse,84031,"44.0499488, 5.044141",87765735,Jeudi,09:00-16:15,09:00-16:15,Petite ville,44.0499488,5.044141
Carpentras,Vaucluse,84031,"44.0499488, 5.044141",87765735,Vendredi,09:00-16:15,09:00-16:15,Petite ville,44.0499488,5.044141
Carpentras,Vaucluse,84031,"44.0499488, 5.044141",87765735,Samedi,09:00-16:15,09:00-16:15,Petite ville,44.0499488,5.044141
Carpentras,Vaucluse,84031,"44.0499488, 5.044141",87765735,Dimanche,09:00-16:15,09:00-16:15,Petite ville,44.0499488,5.044141
Carry-le-Rouet,Bouches-du-Rhône,13021,"43.336592, 5.153594",87753566,Lundi,06:50-13:50,Fermé,Petite ville,43.336592,5.153594
Carry-le-Rouet,Bouches-du-Rhône,13021,"43.336592, 5.153594",87753566,Mardi,09:55-16:55,Fermé,Petite ville,43.336592,5.153594
Carry-le-Rouet,Bouches-du-Rhône,13021,"43.336592, 5.153594",87753566,Mercredi,09:55-16:55,Fermé,Petite ville,43.336592,5.153594
Carry-le-Rouet,Bouches-du-Rhône,13021,"43.336592, 5.153594",87753566,Samedi,09:55-16:55,Fermé,Petite ville,43.336592,5.153594
Cassis,Bouches-du-Rhône,13022,"43.23406, 5.553055",87751776,Mardi,13:00-15:00,Fermé,Petite ville,43.23406,5.553055
Cassis,Bouches-du-Rhône,13022,"43.23406, 5.553055",87751776,Mardi,07:00-12:00,Fermé,Petite ville,43.23406,5.553055
Cassis,Bouches-du-Rhône,13022,"43.23406, 5.553055",87751776,Jeudi,07:00-12:00,Fermé,Petite ville,43.23406,5.553055
Cassis,Bouches-du-Rhône,13022,"43.23406, 5.553055",87751776,Jeudi,13:00-15:00,Fermé,Petite ville,43.23406,5.553055
Cassis,Bouches-du-Rhône,13022,"43.23406, 5.553055",87751776,Samedi,13:45-16:00,Fermé,Petite ville,43.23406,5.553055
Cavaillon,Vaucluse,84035,"43.834554, 5.043613",87765503,Lundi,05:45-20:45,05:45-20:45,Petite ville,43.834554,5.043613
Cavaillon,Vaucluse,84035,"43.834554, 5.043613",87765503,Mardi,05:45-20:45,05:45-20:45,Petite ville,43.834554,5.043613
Cavaillon,Vaucluse,84035,"43.834554, 5.043613",87765503,Mercredi,05:45-20:45,05:45-20:45,Petite ville,43.834554,5.043613
Cavaillon,Vaucluse,84035,"43.834554, 5.043613",87765503,Jeudi,05:45-20:45,05:45-20:45,Petite ville,43.834554,5.043613
Cavaillon,Vaucluse,84035,"43.834554, 5.043613",87765503,Vendredi,05:45-20:45,05:45-20:45,Petite ville,43.834554,5.043613
Cavaillon,Vaucluse,84035,"43.834554, 5.043613",87765503,Samedi,05:45-20:45,05:45-20:45,Petite ville,43.834554,5.043613
Cavaillon,Vaucluse,84035,"43.834554, 5.043613",87765503,Dimanche,05:45-20:45,05:45-20:45,Petite ville,43.834554,5.043613
Chorges,Hautes-Alpes,5040,"44.5458415, 6.2718887",87763425,Lundi,06:10-21:30,06:10-21:30,Petite ville,44.5458415,6.2718887
Chorges,Hautes-Alpes,5040,"44.5458415, 6.2718887",87763425,Mardi,06:10-21:30,06:10-21:30,Petite ville,44.5458415,6.2718887
Chorges,Hautes-Alpes,5040,"44.5458415, 6.2718887",87763425,Mercredi,06:10-21:30,06:10-21:30,Petite ville,44.5458415,6.2718887
Chorges,Hautes-Alpes,5040,"44.5458415, 6.2718887",87763425,Jeudi,06:10-21:30,06:10-21:30,Petite ville,44.5458415,6.2718887
Chorges,Hautes-Alpes,5040,"44.5458415, 6.2718887",87763425,Vendredi,06:10-21:30,06:10-21:30,Petite ville,44.5458415,6.2718887
Chorges,Hautes-Alpes,5040,"44.5458415, 6.2718887",87763425,Samedi,06:10-21:30,06:10-21:30,Petite ville,44.5458415,6.2718887
Chorges,Hautes-Alpes,5040,"44.5458415, 6.2718887",87763425,Dimanche,06:10-21:30,06:10-21:30,Petite ville,44.5458415,6.2718887
Château-Arnoux-Saint-Auban,Alpes-de-Haute-Provence,4049,"44.0615651, 5.9973734",87751230,Lundi,05:45-21:00,07:30-21:00,Petite ville,44.0615651,5.9973734
