Nom,Département,Code commune,Position géographique,UIC,Jour de la semaine,Horaire en jour normal,Horaire en jour férié,Latitude,Longitude
Cassis,Bouches-du-Rhône,13022,"43.23406, 5.553055",87751776,Samedi,13:45-16:00,Fermé,43.23406,5.553055
Cavaillon,Vaucluse,84035,"43.834554, 5.043613",87765503,Lundi,05:45-20:45,05:45-20:45,43.834554,5.043613
Cavaillon,Vaucluse,84035,"43.834554, 5.043613",87765503,Mardi,05:45-20:45,05:45-20:45,43.834554,5.043613
Cavaillon,Vaucluse,84035,"43.834554, 5.043613",87765503,Mercredi,05:45-20:45,05:45-20:45,43.834554,5.043613
Cavaillon,Vaucluse,84035,"43.834554, 5.043613",87765503,Jeudi,05:45-20:45,05:45-20:45,43.834554,5.043613
Cavaillon,Vaucluse,84035,"43.834554, 5.043613",87765503,Vendredi,05:45-20:45,05:45-20:45,43.834554,5.043613
Cavaillon,Vaucluse,84035,"43.834554, 5.043613",87765503,Samedi,05:45-20:45,05:45-20:45,43.834554,5.043613
Cavaillon,Vaucluse,84035,"43.834554, 5.043613",87765503,Dimanche,05:45-20:45,05:45-20:45,43.834554,5.043613
Fréjus,Var,83061,"43.432032, 6.732941",87757500,Lundi,13:30-17:10,,43.432032,6.732941
Fréjus,Var,83061,"43.432032, 6.732941",87757500,Lundi,09:00-12:30,,43.432032,6.732941
Fréjus,Var,83061,"43.432032, 6.732941",87757500,Mardi,09:00-12:30,,43.432032,6.732941
Fréjus,Var,83061,"43.432032, 6.732941",87757500,Mardi,13:30-17:10,,43.432032,6.732941
Fréjus,Var,83061,"43.432032, 6.732941",87757500,Mercredi,09:00-12:30,,43.432032,6.732941
Fréjus,Var,83061,"43.432032, 6.732941",87757500,Mercredi,13:30-17:10,,43.432032,6.732941
Fréjus,Var,83061,"43.432032, 6.732941",87757500,Jeudi,09:00-12:30,,43.432032,6.732941
Fréjus,Var,83061,"43.432032, 6.732941",87757500,Jeudi,13:30-17:10,,43.432032,6.732941
Fréjus,Var,83061,"43.432032, 6.732941",87757500,Vendredi,13:30-17:10,,43.432032,6.732941
Fréjus,Var,83061,"43.432032, 6.732941",87757500,Vendredi,09:00-12:30,,43.432032,6.732941
Gap,Hautes-Alpes,5061,"44.563693, 6.085638",87763003,Lundi,04:45-22:50,06:00-22:50,44.563693,6.085638
Gap,Hautes-Alpes,5061,"44.563693, 6.085638",87763003,Mardi,04:45-22:50,06:00-22:50,44.563693,6.085638
Gap,Hautes-Alpes,5061,"44.563693, 6.085638",87763003,Mercredi,04:45-22:50,06:00-22:50,44.563693,6.085638
Gap,Hautes-Alpes,5061,"44.563693, 6.085638",87763003,Jeudi,04:45-22:50,06:00-22:50,44.563693,6.085638
Gap,Hautes-Alpes,5061,"44.563693, 6.085638",87763003,Vendredi,04:45-22:50,06:00-22:50,44.563693,6.085638
Gap,Hautes-Alpes,5061,"44.563693, 6.085638",87763003,Samedi,04:45-22:00,06:00-22:50,44.563693,6.085638
Gap,Hautes-Alpes,5061,"44.563693, 6.085638",87763003,Dimanche,06:00-22:50,06:00-22:50,44.563693,6.085638
Grasse,Alpes-Maritimes,6069,"43.653317, 6.925524",87757724,Lundi,07:00-20:00,09:00-16:10,43.653317,6.925524
Grasse,Alpes-Maritimes,6069,"43.653317, 6.925524",87757724,Mardi,07:00-20:00,09:00-16:10,43.653317,6.925524
Grasse,Alpes-Maritimes,6069,"43.653317, 6.925524",87757724,Mercredi,07:00-20:00,09:00-16:10,43.653317,6.925524
Grasse,Alpes-Maritimes,6069,"43.653317, 6.925524",87757724,Jeudi,07:00-20:00,09:00-16:10,43.653317,6.925524
Grasse,Alpes-Maritimes,6069,"43.653317, 6.925524",87757724,Vendredi,07:00-20:00,09:00-16:10,43.653317,6.925524
Grasse,Alpes-Maritimes,6069,"43.653317, 6.925524",87757724,Samedi,09:00-16:10,09:00-16:10,43.653317,6.925524
Grasse,Alpes-Maritimes,6069,"43.653317, 6.925524",87757724,Dimanche,09:00-16:10,09:00-16:10,43.653317,6.925524
Hyères,Var,83069,"43.108867, 6.124223",87755629,Lundi,05:40-22:00,05:40-22:00,43.108867,6.124223
Hyères,Var,83069,"43.108867, 6.124223",87755629,Mardi,05:40-22:00,05:40-22:00,43.108867,6.124223
Hyères,Var,83069,"43.108867, 6.124223",87755629,Mercredi,05:40-22:00,05:40-22:00,43.108867,6.124223
Hyères,Var,83069,"43.108867, 6.124223",87755629,Jeudi,05:40-22:00,05:40-22:00,43.108867,6.124223
Hyères,Var,83069,"43.108867, 6.124223",87755629,Vendredi,05:40-22:00,05:40-22:00,43.108867,6.124223
Hyères,Var,83069,"43.108867, 6.124223",87755629,Samedi,05:40-22:00,05:40-22:00,43.108867,6.124223
Hyères,Var,83069,"43.108867, 6.124223",87755629,Dimanche,05:40-22:00,05:40-22:00,43.108867,6.124223
La Brillanne - Oraison,Alpes-de-Haute-Provence,4034,"43.9247771, 5.8923199",87751271,Lundi,06:00-21:00,06:00-21:00,43.9247771,5.8923199
La Brillanne - Oraison,Alpes-de-Haute-Provence,4034,"43.9247771, 5.8923199",87751271,Mardi,06:00-21:00,06:00-21:00,43.9247771,5.8923199
La Brillanne - Oraison,Alpes-de-Haute-Provence,4034,"43.9247771, 5.8923199",87751271,Mercredi,06:00-21:00,06:00-21:00,43.9247771,5.8923199
La Brillanne - Oraison,Alpes-de-Haute-Provence,4034,"43.9247771, 5.8923199",87751271,Jeudi,06:00-21:00,06:00-21:00,43.9247771,5.8923199
La Brillanne - Oraison,Alpes-de-Haute-Provence,4034,"43.9247771, 5.8923199",87751271,Vendredi,06:00-21:00,06:00-21:00,43.9247771,5.8923199
